section,table,metric,value
input_table,base_sample,row_cnt,65178
input_table,base_sample,column_cnt,24
input_table,base_sample,primary_key,application_id
input_table,base_sample,primary_key_missing_cnt,0
input_table,base_sample,primary_key_duplicate_row_cnt,0
input_table,customer_profile,row_cnt,65178
input_table,customer_profile,column_cnt,28
input_table,customer_profile,primary_key,application_id
input_table,customer_profile,primary_key_missing_cnt,0
input_table,customer_profile,primary_key_duplicate_row_cnt,0
input_table,comparison_score,row_cnt,64995
input_table,comparison_score,column_cnt,3
input_table,comparison_score,primary_key,application_id
input_table,comparison_score,primary_key_missing_cnt,0
input_table,comparison_score,primary_key_duplicate_row_cnt,0
input_table,feature_detail,row_cnt,53555
input_table,feature_detail,column_cnt,106
input_table,feature_detail,primary_key,application_id
input_table,feature_detail,primary_key_missing_cnt,0
input_table,feature_detail,primary_key_duplicate_row_cnt,0
input_table,txn_industry_features,row_cnt,22620
input_table,txn_industry_features,column_cnt,9
input_table,txn_industry_features,primary_key,application_id
input_table,txn_industry_features,primary_key_missing_cnt,0
input_table,txn_industry_features,primary_key_duplicate_row_cnt,0
join,customer_profile,base_row_cnt,65178
join,customer_profile,join_success_cnt,65178
join,customer_profile,join_fail_cnt,0
join,comparison_score,base_row_cnt,65178
join,comparison_score,join_success_cnt,64995
join,comparison_score,join_fail_cnt,183
join,txn_industry_features,base_row_cnt,65178
join,txn_industry_features,join_success_cnt,22620
join,txn_industry_features,join_fail_cnt,42558
score,enriched_base,aus_new_worthiness_bid_3rdmodel_v1_0_20260429_missing_cnt,0
score,enriched_base,primary_model_score_bin_missing_or_unknown_cnt,0
score,enriched_base,aus_new_risk_bid_3rdmodel_v1_0_20251201_missing_cnt,183
score,enriched_base,comparison_model_score_bin_missing_or_unknown_cnt,292
critical_field,enriched_base,PTI_missing_rate,1.5342600263892726e-05
critical_field,enriched_base,age_missing_rate,0.0
critical_field,enriched_base,application_status_missing_rate,0.0
critical_field,enriched_base,assessment_status_missing_rate,0.0
critical_field,enriched_base,attributed_category_missing_rate,0.0
critical_field,enriched_base,bank_txn_industry_employer_cnt_missing_rate,0.6588112553315536
critical_field,enriched_base,bank_txn_industry_pay_interval_median_missing_rate,0.6592101629384148
critical_field,enriched_base,bank_txn_industry_pay_interval_std_missing_rate,0.6599312651508178
critical_field,enriched_base,bank_txn_industry_primary_employer_missing_rate,0.660038663352665
critical_field,enriched_base,bank_txn_industry_primary_employer_ratio_missing_rate,0.6588112553315536
critical_field,enriched_base,bank_txn_industry_primary_industry_missing_rate,0.6588112553315536
critical_field,enriched_base,bank_txn_industry_primary_industry_amt_missing_rate,0.6588112553315536
critical_field,enriched_base,comparison_model_score_bin_missing_rate,0.004480039277056675
critical_field,enriched_base,conversion_stage_missing_rate,0.0
critical_field,enriched_base,deal_total_amount_missing_rate,0.0
critical_field,enriched_base,dependents_missing_rate,0.0
critical_field,enriched_base,duedate_1m_5_missing_rate,0.02264567798950566
critical_field,enriched_base,duedate_3m_30_missing_rate,0.15758384731044217
critical_field,enriched_base,family_type_missing_rate,0.0
critical_field,enriched_base,gross_surplus_missing_rate,0.0
critical_field,enriched_base,last_step_missing_rate,1.5342600263892726e-05
critical_field,enriched_base,loan_tag_missing_rate,0.0
critical_field,enriched_base,net_surplus_missing_rate,0.0
critical_field,enriched_base,primary_model_score_bin_missing_rate,0.0
critical_field,enriched_base,requested_loan_amount_missing_rate,0.0
critical_field,enriched_base,requested_loan_tag_missing_rate,0.0
critical_field,enriched_base,state_missing_rate,1.5342600263892726e-05
critical_field,enriched_base,status_missing_rate,0.0
critical_field,enriched_base,suburb_missing_rate,1.5342600263892726e-05
critical_field,enriched_base,total_income_missing_rate,0.0
final,enriched_base,row_cnt,65178
final,enriched_base,column_cnt,65
