primary_model_score_bin,loan_tag,sample_cnt,sample_pct,duedate_3m_30_valid_cnt,duedate_3m_30_bad_cnt,duedate_3m_30_good_cnt,duedate_3m_30_bad_rate,duedate_1m_5_valid_cnt,duedate_1m_5_bad_cnt,duedate_1m_5_good_cnt,duedate_1m_5_bad_rate,duedate_3m_30_amount_overdue_amount,duedate_3m_30_amount_principal_amount,duedate_3m_30_amount_overdue_rate,duedate_1m_5_amount_overdue_amount,duedate_1m_5_amount_principal_amount,duedate_1m_5_amount_overdue_rate,avg_PTI,avg_requested_loan_amount,avg_total_amount,avg_gross_surplus,avg_net_surplus,avg_total_income,avg_bank_txn_industry_primary_industry_amt,avg_bank_txn_industry_pay_interval_median,avg_bank_txn_industry_pay_interval_std,avg_bank_txn_industry_primary_employer_ratio,avg_bank_txn_industry_employer_cnt,apply_cnt,completed_application_cnt,approved_application_cnt,auto_approved_application_cnt,manual_approved_application_cnt,deal_sample_cnt,completion_rate,approval_rate,auto_approval_rate,manual_approval_rate,auto_approval_share,manual_approval_share,deal_rate
1,MACC,824,0.012642302617447605,404,40,364,0.09900990099009901,769,38,731,0.0494148244473342,74718.19,1692850.0,0.04413751366039519,97621.58,1692850.0,0.057666999438816195,0.06831542265151032,3547.3604368932038,2499.5145631067962,2667.7282382686085,2068.024407362459,9742.49849514563,45800.26684210526,9.652476780185758,2.5914676146733746,0.8628737982956655,1.6857585139318885,824,824,824,116,708,824,1.0,1.0,0.1407766990291262,0.8592233009708737,0.1407766990291262,0.8592233009708737,1.0
1,SACC,11030,0.16922888091073676,9552,584,8968,0.06113902847571189,10823,430,10393,0.0397302041947704,642478.79,14075955.0,0.04564370872171729,809781.3799999999,14075955.0,0.0575294095498316,0.05642849506937216,2496.501450589302,1321.3377153218496,2894.7485894530064,2404.254639165911,9348.825686763374,44556.10878453039,9.971349621873182,2.453146017149549,0.8818260906897353,1.6269264321023553,11030,11030,11030,5152,5878,11030,1.0,1.0,0.4670897552130553,0.5329102447869447,0.4670897552130553,0.5329102447869447,1.0
2,MACC,454,0.006965540519807297,230,31,199,0.13478260869565217,420,23,397,0.05476190476190476,46075.33,890500.0,0.05174096574957889,66228.07999999999,890500.0,0.07437179112857943,0.07731638905517128,3332.04845814978,2369.54845814978,1944.7547099853157,1411.2449706314242,7433.109695301028,33559.88117647059,11.04264705882353,2.4086027238588237,0.9035061636117647,1.5411764705882354,454,454,454,68,386,454,1.0,1.0,0.14977973568281938,0.8502202643171806,0.14977973568281938,0.8502202643171806,1.0
2,SACC,12792,0.19626254257571574,10822,920,9902,0.08501201256699316,12516,635,11881,0.05073505912432087,902788.78,13676389.0,0.06601075620180151,1078356.73,13676389.0,0.07884805923551896,0.05892446415760116,2192.213649155722,1121.89837398374,2064.3364329268293,1670.9811026422765,7111.608585704607,33007.05082771449,10.518949081608929,2.144268100856212,0.9129627984554753,1.5056963496861195,12792,12792,12792,5952,6840,12792,1.0,1.0,0.4652908067542214,0.5347091932457786,0.4652908067542214,0.5347091932457786,1.0
3,MACC,327,0.005017030286292921,193,42,151,0.21761658031088082,298,26,272,0.087248322147651,77959.28,638377.0,0.12212106639180297,90506.47,638377.0,0.1417758941816513,0.08268287481920208,3233.1804281345567,2332.804281345566,1833.427635066259,1306.5243170234455,6986.748888888889,30118.581787439613,11.492718446601941,2.2320232350582523,0.9379186057149759,1.3864734299516908,327,327,327,50,277,327,1.0,1.0,0.1529051987767584,0.8470948012232415,0.1529051987767584,0.8470948012232415,1.0
3,SACC,13117,0.20124888766148086,11099,1228,9871,0.11064059825209478,12793,834,11959,0.06519190182130853,988329.8300000001,12162206.0,0.08126238200536975,1175999.17,12162206.0,0.09669291656464296,0.05813182970921605,1996.7223450484105,978.5885492109476,1814.1431020812686,1467.1024661380904,6322.706451932607,27750.987517779307,10.5059674087675,2.4772367117518383,0.9142814934808443,1.5012617572837808,13117,13117,13117,5948,7169,13117,1.0,1.0,0.4534573454295952,0.5465426545704049,0.4534573454295952,0.5465426545704049,1.0
4,MACC,205,0.0031452330540980085,152,35,117,0.23026315789473684,193,21,172,0.10880829015544041,61302.37,419950.0,0.14597540183355162,66923.76,419950.0,0.1593612572925348,0.0896683293695924,3103.6585365853657,2304.6341463414633,1950.8100162601625,1415.5279349593497,6552.379853658537,24091.607300000003,10.705,2.1766836141818184,0.90831308642,1.48,205,205,205,40,165,205,1.0,1.0,0.1951219512195122,0.8048780487804879,0.1951219512195122,0.8048780487804879,1.0
4,SACC,13251,0.2033047960968425,11163,1640,9523,0.14691391203081608,12936,1124,11812,0.08688930117501546,1155633.76,10819739.0,0.10680791468260002,1383966.75,10819739.0,0.1279112878785708,0.05674457332923998,1869.2196815334692,859.5452418685383,1704.718993535079,1395.0448074359167,5790.965735416195,23467.127165477254,10.627932960893855,2.6072053086879765,0.9197243700983497,1.4781445138269402,13251,13251,13251,5581,7670,13251,1.0,1.0,0.42117576031997583,0.5788242396800242,0.42117576031997583,0.5788242396800242,1.0
5,MACC,68,0.0010432968179447052,49,13,36,0.2653061224489796,63,9,54,0.14285714285714285,23894.65,134175.0,0.17808570896217626,35301.62,134175.0,0.26310132289919885,0.1043560657854418,2810.294117647059,2211.3970588235293,2018.7722303921564,1482.4174019607842,5676.143161764705,23152.085714285717,9.464285714285714,1.8951204073928571,0.9505823165714286,1.3214285714285714,68,68,68,6,62,68,1.0,1.0,0.08823529411764706,0.9117647058823529,0.08823529411764706,0.9117647058823529,1.0
5,SACC,13110,0.20114148945963362,11243,2677,8566,0.238103708974473,12891,1786,11105,0.13854627259328214,1425757.5999999999,8935841.0,0.15955494284197758,1741333.69,8935841.0,0.1948707111059832,0.054128826031017575,1678.273302822273,709.2079328756674,1597.3557842613777,1327.899404780066,5276.3391103483345,18317.54850946008,10.20816940523027,2.879355777877238,0.9210944722261192,1.4672358098754037,13110,13110,13110,3989,9121,13110,1.0,1.0,0.30427154843630816,0.6957284515636918,0.30427154843630816,0.6957284515636918,1.0
